model,mean_AUC_ROC,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1
basic_parameters,0.995,0.99,1.00,1.00,1.00,0.97,0.99
opmizied_parameters,0.995,1.00,1.00,1.00,1.00,0.99,0.989
